Player,variable,deciles,type_variable
J. Musiala,Passes to final third per 90,33,Buildup
J. Musiala,Progressive passes per 90,21,Buildup
J. Musiala,Lateral passes per 90,62,Positioning
J. Musiala,Long passes per 90,17,Buildup
J. Musiala,Shots per 90,92,Positioning
J. Musiala,Touches in box per 90,98,Chance creation
J. Musiala,Progressive runs per 90,83,Buildup
J. Musiala,Dribbles per 90,100,Chance creation
J. Musiala,Back passes per 90,85,Positioning
J. Musiala,Interceptions per 90,97,Defense
J. Musiala,Shots blocked per 90,85,Defense
J. Musiala,Fouls per 90,47,Defense
F. Wirtz,Passes to final third per 90,80,Buildup
F. Wirtz,Progressive passes per 90,67,Buildup
F. Wirtz,Lateral passes per 90,70,Positioning
F. Wirtz,Long passes per 90,50,Buildup
F. Wirtz,Shots per 90,30,Positioning
F. Wirtz,Touches in box per 90,64,Chance creation
F. Wirtz,Progressive runs per 90,68,Buildup
F. Wirtz,Dribbles per 90,57,Chance creation
F. Wirtz,Back passes per 90,67,Positioning
F. Wirtz,Interceptions per 90,23,Defense
F. Wirtz,Shots blocked per 90,43,Defense
F. Wirtz,Fouls per 90,39,Defense
L. Goretzka,Passes to final third per 90,97,Buildup
L. Goretzka,Progressive passes per 90,75,Buildup
L. Goretzka,Lateral passes per 90,100,Positioning
L. Goretzka,Long passes per 90,93,Buildup
L. Goretzka,Shots per 90,66,Positioning
L. Goretzka,Touches in box per 90,74,Chance creation
L. Goretzka,Progressive runs per 90,24,Buildup
L. Goretzka,Dribbles per 90,7,Chance creation
L. Goretzka,Back passes per 90,60,Positioning
L. Goretzka,Interceptions per 90,100,Defense
L. Goretzka,Shots blocked per 90,53,Defense
L. Goretzka,Fouls per 90,73,Defense
Dani Olmo,Passes to final third per 90,91,Buildup
Dani Olmo,Progressive passes per 90,96,Buildup
Dani Olmo,Lateral passes per 90,87,Positioning
Dani Olmo,Long passes per 90,91,Buildup
Dani Olmo,Shots per 90,98,Positioning
Dani Olmo,Touches in box per 90,91,Chance creation
Dani Olmo,Progressive runs per 90,28,Buildup
Dani Olmo,Dribbles per 90,66,Chance creation
Dani Olmo,Back passes per 90,82,Positioning
Dani Olmo,Interceptions per 90,52,Defense
Dani Olmo,Shots blocked per 90,1,Defense
Dani Olmo,Fouls per 90,27,Defense
J. Brandt,Passes to final third per 90,68,Buildup
J. Brandt,Progressive passes per 90,78,Buildup
J. Brandt,Lateral passes per 90,97,Positioning
J. Brandt,Long passes per 90,53,Buildup
J. Brandt,Shots per 90,38,Positioning
J. Brandt,Touches in box per 90,86,Chance creation
J. Brandt,Progressive runs per 90,47,Buildup
J. Brandt,Dribbles per 90,51,Chance creation
J. Brandt,Back passes per 90,93,Positioning
J. Brandt,Interceptions per 90,65,Defense
J. Brandt,Shots blocked per 90,31,Defense
J. Brandt,Fouls per 90,2,Defense
D. Kamada,Passes to final third per 90,63,Buildup
D. Kamada,Progressive passes per 90,26,Buildup
D. Kamada,Lateral passes per 90,51,Positioning
D. Kamada,Long passes per 90,27,Buildup
D. Kamada,Shots per 90,39,Positioning
D. Kamada,Touches in box per 90,84,Chance creation
D. Kamada,Progressive runs per 90,39,Buildup
D. Kamada,Dribbles per 90,54,Chance creation
D. Kamada,Back passes per 90,47,Positioning
D. Kamada,Interceptions per 90,41,Defense
D. Kamada,Shots blocked per 90,37,Defense
D. Kamada,Fouls per 90,82,Defense
Matheus Cunha,Passes to final third per 90,62,Buildup
Matheus Cunha,Progressive passes per 90,35,Buildup
Matheus Cunha,Lateral passes per 90,31,Positioning
Matheus Cunha,Long passes per 90,57,Buildup
Matheus Cunha,Shots per 90,96,Positioning
Matheus Cunha,Touches in box per 90,86,Chance creation
Matheus Cunha,Progressive runs per 90,92,Buildup
Matheus Cunha,Dribbles per 90,98,Chance creation
Matheus Cunha,Back passes per 90,2,Positioning
Matheus Cunha,Interceptions per 90,73,Defense
Matheus Cunha,Shots blocked per 90,43,Defense
Matheus Cunha,Fouls per 90,94,Defense
A. Haidara,Passes to final third per 90,94,Buildup
A. Haidara,Progressive passes per 90,93,Buildup
A. Haidara,Lateral passes per 90,82,Positioning
A. Haidara,Long passes per 90,75,Buildup
A. Haidara,Shots per 90,69,Positioning
A. Haidara,Touches in box per 90,71,Chance creation
A. Haidara,Progressive runs per 90,47,Buildup
A. Haidara,Dribbles per 90,28,Chance creation
A. Haidara,Back passes per 90,89,Positioning
A. Haidara,Interceptions per 90,99,Defense
A. Haidara,Shots blocked per 90,22,Defense
A. Haidara,Fouls per 90,46,Defense
R. Doan,Passes to final third per 90,13,Buildup
R. Doan,Progressive passes per 90,17,Buildup
R. Doan,Lateral passes per 90,2,Positioning
R. Doan,Long passes per 90,41,Buildup
R. Doan,Shots per 90,82,Positioning
R. Doan,Touches in box per 90,56,Chance creation
R. Doan,Progressive runs per 90,67,Buildup
R. Doan,Dribbles per 90,93,Chance creation
R. Doan,Back passes per 90,15,Positioning
R. Doan,Interceptions per 90,69,Defense
R. Doan,Shots blocked per 90,31,Defense
R. Doan,Fouls per 90,40,Defense
A. Harit,Passes to final third per 90,19,Buildup
A. Harit,Progressive passes per 90,57,Buildup
A. Harit,Lateral passes per 90,35,Positioning
A. Harit,Long passes per 90,17,Buildup
A. Harit,Shots per 90,15,Positioning
A. Harit,Touches in box per 90,35,Chance creation
A. Harit,Progressive runs per 90,96,Buildup
A. Harit,Dribbles per 90,98,Chance creation
A. Harit,Back passes per 90,52,Positioning
A. Harit,Interceptions per 90,9,Defense
A. Harit,Shots blocked per 90,43,Defense
A. Harit,Fouls per 90,57,Defense
J. Ryerson,Passes to final third per 90,58,Buildup
J. Ryerson,Progressive passes per 90,87,Buildup
J. Ryerson,Lateral passes per 90,45,Positioning
J. Ryerson,Long passes per 90,95,Buildup
J. Ryerson,Shots per 90,4,Positioning
J. Ryerson,Touches in box per 90,2,Chance creation
J. Ryerson,Progressive runs per 90,6,Buildup
J. Ryerson,Dribbles per 90,57,Chance creation
J. Ryerson,Back passes per 90,55,Positioning
J. Ryerson,Interceptions per 90,97,Defense
J. Ryerson,Shots blocked per 90,1,Defense
J. Ryerson,Fouls per 90,32,Defense
M. Reus,Passes to final third per 90,47,Buildup
M. Reus,Progressive passes per 90,45,Buildup
M. Reus,Lateral passes per 90,65,Positioning
M. Reus,Long passes per 90,29,Buildup
M. Reus,Shots per 90,84,Positioning
M. Reus,Touches in box per 90,99,Chance creation
M. Reus,Progressive runs per 90,43,Buildup
M. Reus,Dribbles per 90,48,Chance creation
M. Reus,Back passes per 90,89,Positioning
M. Reus,Interceptions per 90,48,Defense
M. Reus,Shots blocked per 90,43,Defense
M. Reus,Fouls per 90,46,Defense
E. Forsberg,Passes to final third per 90,52,Buildup
E. Forsberg,Progressive passes per 90,3,Buildup
E. Forsberg,Lateral passes per 90,22,Positioning
E. Forsberg,Long passes per 90,9,Buildup
E. Forsberg,Shots per 90,73,Positioning
E. Forsberg,Touches in box per 90,90,Chance creation
E. Forsberg,Progressive runs per 90,33,Buildup
E. Forsberg,Dribbles per 90,26,Chance creation
E. Forsberg,Back passes per 90,55,Positioning
E. Forsberg,Interceptions per 90,19,Defense
E. Forsberg,Shots blocked per 90,31,Defense
E. Forsberg,Fouls per 90,26,Defense
J. Brekalo,Passes to final third per 90,54,Buildup
J. Brekalo,Progressive passes per 90,78,Buildup
J. Brekalo,Lateral passes per 90,86,Positioning
J. Brekalo,Long passes per 90,50,Buildup
J. Brekalo,Shots per 90,87,Positioning
J. Brekalo,Touches in box per 90,74,Chance creation
J. Brekalo,Progressive runs per 90,93,Buildup
J. Brekalo,Dribbles per 90,75,Chance creation
J. Brekalo,Back passes per 90,82,Positioning
J. Brekalo,Interceptions per 90,32,Defense
J. Brekalo,Shots blocked per 90,1,Defense
J. Brekalo,Fouls per 90,8,Defense
J. Thielmann,Passes to final third per 90,46,Buildup
J. Thielmann,Progressive passes per 90,62,Buildup
J. Thielmann,Lateral passes per 90,11,Positioning
J. Thielmann,Long passes per 90,68,Buildup
J. Thielmann,Shots per 90,24,Positioning
J. Thielmann,Touches in box per 90,34,Chance creation
J. Thielmann,Progressive runs per 90,27,Buildup
J. Thielmann,Dribbles per 90,4,Chance creation
J. Thielmann,Back passes per 90,24,Positioning
J. Thielmann,Interceptions per 90,23,Defense
J. Thielmann,Shots blocked per 90,43,Defense
J. Thielmann,Fouls per 90,48,Defense
Y. Gerhardt,Passes to final third per 90,31,Buildup
Y. Gerhardt,Progressive passes per 90,39,Buildup
Y. Gerhardt,Lateral passes per 90,37,Positioning
Y. Gerhardt,Long passes per 90,33,Buildup
Y. Gerhardt,Shots per 90,33,Positioning
Y. Gerhardt,Touches in box per 90,69,Chance creation
Y. Gerhardt,Progressive runs per 90,35,Buildup
Y. Gerhardt,Dribbles per 90,16,Chance creation
Y. Gerhardt,Back passes per 90,28,Positioning
Y. Gerhardt,Interceptions per 90,87,Defense
Y. Gerhardt,Shots blocked per 90,82,Defense
Y. Gerhardt,Fouls per 90,84,Defense
V. Lazaro,Passes to final third per 90,40,Buildup
V. Lazaro,Progressive passes per 90,78,Buildup
V. Lazaro,Lateral passes per 90,37,Positioning
V. Lazaro,Long passes per 90,65,Buildup
V. Lazaro,Shots per 90,26,Positioning
V. Lazaro,Touches in box per 90,45,Chance creation
V. Lazaro,Progressive runs per 90,50,Buildup
V. Lazaro,Dribbles per 90,38,Chance creation
V. Lazaro,Back passes per 90,80,Positioning
V. Lazaro,Interceptions per 90,96,Defense
V. Lazaro,Shots blocked per 90,38,Defense
V. Lazaro,Fouls per 90,4,Defense
S. Serdar,Passes to final third per 90,54,Buildup
S. Serdar,Progressive passes per 90,22,Buildup
S. Serdar,Lateral passes per 90,39,Positioning
S. Serdar,Long passes per 90,43,Buildup
S. Serdar,Shots per 90,46,Positioning
S. Serdar,Touches in box per 90,22,Chance creation
S. Serdar,Progressive runs per 90,39,Buildup
S. Serdar,Dribbles per 90,76,Chance creation
S. Serdar,Back passes per 90,2,Positioning
S. Serdar,Interceptions per 90,69,Defense
S. Serdar,Shots blocked per 90,79,Defense
S. Serdar,Fouls per 90,55,Defense
N. Amiri,Passes to final third per 90,90,Buildup
N. Amiri,Progressive passes per 90,78,Buildup
N. Amiri,Lateral passes per 90,94,Positioning
N. Amiri,Long passes per 90,77,Buildup
N. Amiri,Shots per 90,74,Positioning
N. Amiri,Touches in box per 90,8,Chance creation
N. Amiri,Progressive runs per 90,64,Buildup
N. Amiri,Dribbles per 90,22,Chance creation
N. Amiri,Back passes per 90,97,Positioning
N. Amiri,Interceptions per 90,59,Defense
N. Amiri,Shots blocked per 90,66,Defense
N. Amiri,Fouls per 90,38,Defense
R. Vargas,Passes to final third per 90,14,Buildup
R. Vargas,Progressive passes per 90,45,Buildup
R. Vargas,Lateral passes per 90,21,Positioning
R. Vargas,Long passes per 90,53,Buildup
R. Vargas,Shots per 90,72,Positioning
R. Vargas,Touches in box per 90,77,Chance creation
R. Vargas,Progressive runs per 90,63,Buildup
R. Vargas,Dribbles per 90,79,Chance creation
R. Vargas,Back passes per 90,74,Positioning
R. Vargas,Interceptions per 90,88,Defense
R. Vargas,Shots blocked per 90,53,Defense
R. Vargas,Fouls per 90,70,Defense
A. Maier,Passes to final third per 90,56,Buildup
A. Maier,Progressive passes per 90,60,Buildup
A. Maier,Lateral passes per 90,69,Positioning
A. Maier,Long passes per 90,75,Buildup
A. Maier,Shots per 90,12,Positioning
A. Maier,Touches in box per 90,10,Chance creation
A. Maier,Progressive runs per 90,36,Buildup
A. Maier,Dribbles per 90,9,Chance creation
A. Maier,Back passes per 90,58,Positioning
A. Maier,Interceptions per 90,93,Defense
A. Maier,Shots blocked per 90,92,Defense
A. Maier,Fouls per 90,1,Defense
S. Kolašinac,Passes to final third per 90,48,Buildup
S. Kolašinac,Progressive passes per 90,81,Buildup
S. Kolašinac,Lateral passes per 90,66,Positioning
S. Kolašinac,Long passes per 90,83,Buildup
S. Kolašinac,Shots per 90,2,Positioning
S. Kolašinac,Touches in box per 90,22,Chance creation
S. Kolašinac,Progressive runs per 90,39,Buildup
S. Kolašinac,Dribbles per 90,14,Chance creation
S. Kolašinac,Back passes per 90,50,Positioning
S. Kolašinac,Interceptions per 90,75,Defense
S. Kolašinac,Shots blocked per 90,82,Defense
S. Kolašinac,Fouls per 90,52,Defense
M. Ingvartsen,Passes to final third per 90,10,Buildup
M. Ingvartsen,Progressive passes per 90,23,Buildup
M. Ingvartsen,Lateral passes per 90,1,Positioning
M. Ingvartsen,Long passes per 90,17,Buildup
M. Ingvartsen,Shots per 90,52,Positioning
M. Ingvartsen,Touches in box per 90,23,Chance creation
