player,minutes,team,match,date
E. Reséndez,90,Cancún,Clausura - 6,2023-02-08T01:05:00+00:00
H. Marín,90,Cancún,Clausura - 6,2023-02-08T01:05:00+00:00
B. Galindo,90,Cancún,Clausura - 6,2023-02-08T01:05:00+00:00
W. Ortega,90,Cancún,Clausura - 6,2023-02-08T01:05:00+00:00
M. Pérez,71,Cancún,Clausura - 6,2023-02-08T01:05:00+00:00
R. Suárez,71,Cancún,Clausura - 6,2023-02-08T01:05:00+00:00
J. Alonzo,66,Cancún,Clausura - 6,2023-02-08T01:05:00+00:00
M. Reyes,90,Cancún,Clausura - 6,2023-02-08T01:05:00+00:00
Junior Moreira,66,Cancún,Clausura - 6,2023-02-08T01:05:00+00:00
A. Tamay,66,Cancún,Clausura - 6,2023-02-08T01:05:00+00:00
L. Loroña,90,Cancún,Clausura - 6,2023-02-08T01:05:00+00:00
P. López,24,Cancún,Clausura - 6,2023-02-08T01:05:00+00:00
D. Hernández,24,Cancún,Clausura - 6,2023-02-08T01:05:00+00:00
C. Traoré,24,Cancún,Clausura - 6,2023-02-08T01:05:00+00:00
A. Sánchez,19,Cancún,Clausura - 6,2023-02-08T01:05:00+00:00
G. Eguade,19,Cancún,Clausura - 6,2023-02-08T01:05:00+00:00
C. Andrade,0,Cancún,Clausura - 6,2023-02-08T01:05:00+00:00
H. Aguayo,0,Cancún,Clausura - 6,2023-02-08T01:05:00+00:00
C. Prieto,0,Cancún,Clausura - 6,2023-02-08T01:05:00+00:00
E. García,0,Cancún,Clausura - 6,2023-02-08T01:05:00+00:00
A. Amoustapha,0,Cancún,Clausura - 6,2023-02-08T01:05:00+00:00
H. Hernández,90,Atlante FC,Clausura - 6,2023-02-08T01:05:00+00:00
R. González,69,Atlante FC,Clausura - 6,2023-02-08T01:05:00+00:00
Elbis,90,Atlante FC,Clausura - 6,2023-02-08T01:05:00+00:00
J. Portales,90,Atlante FC,Clausura - 6,2023-02-08T01:05:00+00:00
A. Escobar,80,Atlante FC,Clausura - 6,2023-02-08T01:05:00+00:00
F. Reyes,90,Atlante FC,Clausura - 6,2023-02-08T01:05:00+00:00
C. Bermúdez,80,Atlante FC,Clausura - 6,2023-02-08T01:05:00+00:00
M. Velázquez,80,Atlante FC,Clausura - 6,2023-02-08T01:05:00+00:00
Daniel Lajud,86,Atlante FC,Clausura - 6,2023-02-08T01:05:00+00:00
J. Martínez,90,Atlante FC,Clausura - 6,2023-02-08T01:05:00+00:00
O. Soto,90,Atlante FC,Clausura - 6,2023-02-08T01:05:00+00:00
D. López,21,Atlante FC,Clausura - 6,2023-02-08T01:05:00+00:00
M. Galván,10,Atlante FC,Clausura - 6,2023-02-08T01:05:00+00:00
J. González,10,Atlante FC,Clausura - 6,2023-02-08T01:05:00+00:00
S. Caicedo,10,Atlante FC,Clausura - 6,2023-02-08T01:05:00+00:00
J. Angulo,4,Atlante FC,Clausura - 6,2023-02-08T01:05:00+00:00
R. Cerecedo,0,Atlante FC,Clausura - 6,2023-02-08T01:05:00+00:00
M. García,0,Atlante FC,Clausura - 6,2023-02-08T01:05:00+00:00
A. Cárdenas,0,Atlante FC,Clausura - 6,2023-02-08T01:05:00+00:00
E. Jiménez,0,Atlante FC,Clausura - 6,2023-02-08T01:05:00+00:00
I. Ochoa,0,Atlante FC,Clausura - 6,2023-02-08T01:05:00+00:00
G. Espinoza,90,Cimarrones,Clausura - 12,2023-03-22T03:05:00+00:00
J. Saavedra,90,Cimarrones,Clausura - 12,2023-03-22T03:05:00+00:00
U. Torres,90,Cimarrones,Clausura - 12,2023-03-22T03:05:00+00:00
J. Reyes,90,Cimarrones,Clausura - 12,2023-03-22T03:05:00+00:00
H. Vázquez,68,Cimarrones,Clausura - 12,2023-03-22T03:05:00+00:00
